University_Name,Country,State_Province,Website,processed_at
Africa International University,Kenya,Unknown,http://www.aiu.ac.ke/,2026-03-15 21:26:51
Africa Nazarene University,Kenya,Unknown,http://www.anu.ac.ke/,2026-03-15 21:26:51
Adventist University of Africa,Kenya,Unknown,http://www.aua.ac.ke/,2026-03-15 21:26:51
Chuka University,Kenya,Unknown,http://www.chuka.ac.ke/,2026-03-15 21:26:51
Catholic University of Eastern Africa,Kenya,Unknown,http://www.cuea.edu/,2026-03-15 21:26:51
Daystar University,Kenya,Unknown,http://www.daystar.ac.ke/,2026-03-15 21:26:51
Dedan Kimathi University of Technology,Kenya,Unknown,http://www.dkut.ac.ke/,2026-03-15 21:26:51
Egerton University,Kenya,Unknown,http://www.egerton.ac.ke/,2026-03-15 21:26:51
Great Lakes University of Kisumu,Kenya,Unknown,http://www.gluk.ac.ke/,2026-03-15 21:26:51
Gretsa Universtiy,Kenya,Unknown,http://www.gretsauniversity.ac.ke/,2026-03-15 21:26:51
Inoorero University,Kenya,Unknown,http://www.iu.ac.ke/,2026-03-15 21:26:51
Jomo Kenyatta University of Agriculture and Technology,Kenya,Unknown,http://www.jkuat.ac.ke/,2026-03-15 21:26:51
Jaramogi Oginga Odinga University of Science and Technology,Kenya,Unknown,http://www.jooust.ac.ke/,2026-03-15 21:26:51
Kabarak University,Kenya,Unknown,http://www.kabarak.ac.ke/,2026-03-15 21:26:51
University of Kabianga,Kenya,Unknown,http://www.kabianga.ac.ke/,2026-03-15 21:26:51
Karatina University,Kenya,Unknown,http://www.karatinauniversity.ac.ke/,2026-03-15 21:26:51
Kenya College of Accountancy,Kenya,Unknown,http://www.kca.ac.ke/,2026-03-15 21:26:51
Kenya Methodist University,Kenya,Unknown,http://www.kemu.ac.ke/,2026-03-15 21:26:51
Kisii University,Kenya,Unknown,http://www.kisiiuniversity.ac.ke/,2026-03-15 21:26:51
Kenya Medical Training College,Kenya,Unknown,http://www.kmtc.ac.ke/,2026-03-15 21:26:51
Kenyatta University,Kenya,Unknown,http://www.ku.ac.ke/,2026-03-15 21:26:51
Kiriri Womens University of Science and Technology,Kenya,Unknown,http://www.kwust.ac.ke/,2026-03-15 21:26:51
Laikipia University,Kenya,Unknown,http://www.laikipia.ac.ke/,2026-03-15 21:26:51
Maseno University,Kenya,Unknown,http://www.maseno.ac.ke/,2026-03-15 21:26:51
Mount Kenya University,Kenya,Unknown,http://www.mku.ac.ke/,2026-03-15 21:26:51
Maasai Mara University,Kenya,Unknown,http://www.mmarau.ac.ke/,2026-03-15 21:26:51
Multimedia University of Kenya,Kenya,Unknown,http://www.mmu.ac.ke/,2026-03-15 21:26:51
Masinde Muliro University of Science and Technology,Kenya,Unknown,http://www.mmust.ac.ke/,2026-03-15 21:26:51
Moi University,Kenya,Unknown,http://www.mu.ac.ke/,2026-03-15 21:26:51
Meru University of Science and Technology,Kenya,Unknown,http://www.must.ac.ke/,2026-03-15 21:26:51
Nairobi Institute of Business Studies,Kenya,Unknown,http://www.nibs.ac.ke/,2026-03-15 21:26:51
Nairobi Technical Training Institute,Kenya,Unknown,http://www.ntti.ac.ke/,2026-03-15 21:26:51
Pan Africa Christian University,Kenya,Unknown,http://www.pacuniversity.ac.ke/,2026-03-15 21:26:51
Pioneer International University,Kenya,Unknown,http://www.piu.ac.ke/,2026-03-15 21:26:51
Pwani University,Kenya,Unknown,http://www.pu.ac.ke/,2026-03-15 21:26:51
Presbyterian University of East Africa,Kenya,Unknown,http://www.puea.ac.ke/,2026-03-15 21:26:51
Riara University School of Business and Law,Kenya,Unknown,http://www.riarauniversity.ac.ke/,2026-03-15 21:26:51
Scott Christian University,Kenya,Unknown,http://www.scott.ac.ke/,2026-03-15 21:26:51
South Eastern Kenya University,Kenya,Unknown,http://www.seku.ac.ke/,2026-03-15 21:26:51
St. Pauls University,Kenya,Unknown,http://www.spu.ac.ke/,2026-03-15 21:26:51
Strathmore University,Kenya,Unknown,http://www.strathmore.edu/,2026-03-15 21:26:51
Technical University of Kenya,Kenya,Unknown,http://www.tukenya.ac.ke/,2026-03-15 21:26:51
Technical University of Mombasa,Kenya,Unknown,http://www.tum.ac.ke/,2026-03-15 21:26:51
"University of Eastern Africa, Baraton",Kenya,Unknown,http://www.ueab.ac.ke/,2026-03-15 21:26:51
University of Eldoret,Kenya,Unknown,http://www.uoeld.ac.ke/,2026-03-15 21:26:51
University of Nairobi,Kenya,Unknown,http://www.uonbi.ac.ke/,2026-03-15 21:26:51
United States International University,Kenya,Unknown,http://www.usiu.ac.ke/,2026-03-15 21:26:51
Uzima University College,Kenya,Unknown,http://www.uzimauniversity.ac.ke/,2026-03-15 21:26:51
Zetech College,Kenya,Unknown,http://www.zetechcollege.com/,2026-03-15 21:26:51
